2 DEGEN ST,1, Federal Style Home,Home Size 8172 Square Feet,Oyster Shells Driveway,Crushed Stone Driveway, Lot Size 19217 Square Feet,2021-09-17 7:17:18,https://hub.link/EgxU5kq,https://map.metagascar.com/way/22
4 DEGEN ST,2, Pueblo Style Home,Home Size 6643 Square Feet,Basic Driveway,Concrete Driveway, Lot Size 26252 Square Feet,2021-09-17 7:17:20,Undeveloped,https://map.metagascar.com/way/23
6 DEGEN ST,3, Split Level Style Home,Home Size 6823 Square Feet,Valet Style Driveway,Concrete Driveway, Lot Size 19217 Square Feet,2021-09-17 7:17:22,https://hub.link/7TWsWXE,https://map.metagascar.com/way/24
8 DEGEN ST,4, Saltbox Style Home,Home Size 9707 Square Feet,Basic Driveway,Tar and Chip Driveway, Lot Size 18544 Square Feet,2021-09-17 7:17:24,https://hub.link/GTWCDYi,https://map.metagascar.com/way/25
10 DEGEN ST,5, Saltbox Style Home,Home Size 8121 Square Feet,Oyster Shells Driveway,Paver Driveway, Lot Size 18172 Square Feet,2021-09-17 7:17:25,https://hub.link/a2gbnMg,https://map.metagascar.com/way/26
12 DEGEN ST,6, Art Deco Style Home,Home Size 7165 Square Feet,Valet Style Driveway,Crushed Stone Driveway, Lot Size 21823 Square Feet,2021-09-17 7:17:27,https://hub.link/SDHWvi6,https://map.metagascar.com/way/27
14 DEGEN ST,7, Neoclassical Style Home,Home Size 6072 Square Feet,Basic Driveway,Cobblestone Driveway, Lot Size 19555 Square Feet,2021-09-17 7:17:29,Undeveloped,https://map.metagascar.com/way/28
16 DEGEN ST,8, International Style Home,Home Size 8121 Square Feet,Valet Style Driveway,Cobblestone Driveway, Lot Size 19555 Square Feet,2021-09-17 7:17:31,https://hub.link/zgyBj2N,https://map.metagascar.com/way/29
18 DEGEN ST,9, Shed Style Home,Home Size 8060 Square Feet,Valet Style Driveway,Brick Driveway, Lot Size 19217 Square Feet,2021-09-17 7:17:33,https://hub.link/LvN9NGG,https://map.metagascar.com/way/30
20 DEGEN ST,10, International Style Home,Home Size 5780 Square Feet,Basic Driveway,Paver Driveway, Lot Size 16072 Square Feet,2021-09-17 7:17:34,https://hub.link/dKypSsh,https://map.metagascar.com/way/31
3 DEGEN ST,11, Pueblo Style Home,Home Size 5617 Square Feet,Basic Driveway,Asphalt Driveway, Lot Size 22165 Square Feet,2021-09-17 7:17:36,https://hub.link/HFBseQy,https://map.metagascar.com/way/41
5 DEGEN ST,12, Tudor Style Home,Home Size 6005 Square Feet,Oyster Shells Driveway,Asphalt Driveway, Lot Size 15617 Square Feet,2021-09-17 7:17:37,Undeveloped,https://map.metagascar.com/way/40
7 DEGEN ST,13, Prairie Style Home,Home Size 8172 Square Feet,Basic Driveway,Brick Driveway, Lot Size 16072 Square Feet,2021-09-17 7:17:39,https://hub.link/z3PtGAH,https://map.metagascar.com/way/39
9 DEGEN ST,14, Neoclassical Style Home,Home Size 7857 Square Feet,Basic Driveway,Gravel Driveway, Lot Size 15899 Square Feet,2021-09-17 7:17:41,Undeveloped,https://map.metagascar.com/way/38
11 DEGEN ST,15, Shed Style Home,Home Size 3252 Square Feet,Basic Driveway,Brick Driveway, Lot Size 90210 Square Feet,2021-09-17 7:17:42,Undeveloped,https://map.metagascar.com/way/37
13 DEGEN ST,16, Monterey Style Home,Home Size 6643 Square Feet,Oyster Shells Driveway,Tar and Chip Driveway, Lot Size 16072 Square Feet,2021-09-17 7:17:44,https://hub.link/seTcJdt,https://map.metagascar.com/way/36
15 DEGEN ST,17, Shotgun Style Home,Home Size 5617 Square Feet,Basic Driveway,Paver Driveway, Lot Size 15899 Square Feet,2021-09-17 7:17:45,Undeveloped,https://map.metagascar.com/way/35
17 DEGEN ST,18, Split Level Style Home,Home Size 5899 Square Feet,Basic Driveway,Basalt Driveway, Lot Size 16005 Square Feet,2021-09-17 7:17:47,Undeveloped,https://map.metagascar.com/way/34
19 DEGEN ST,19, Prairie Style Home,Home Size 4210 Square Feet,Valet Style Driveway,Gravel Driveway, Lot Size 16072 Square Feet,2021-09-17 7:17:48,Undeveloped,https://map.metagascar.com/way/33
21 DEGEN ST,20, Cape Cod Style Home,Home Size 7857 Square Feet,Oyster Shells Driveway,Paver Driveway, Lot Size 19217 Square Feet,2021-09-17 7:17:50,Undeveloped,https://map.metagascar.com/way/32
2 Grasswood Ave,21, Greek Revival Style Home,Home Size 9124 Square Feet,Basic Driveway,Concrete Driveway, Lot Size 15899 Square Feet,2021-09-17 7:17:52,Undeveloped,https://map.metagascar.com/way/51
4 Grasswood Ave,22, Queen Anne Style Home,Home Size 7730 Square Feet,Valet Style Driveway,Paver Driveway, Lot Size 15617 Square Feet,2021-09-17 7:17:53,Undeveloped,https://map.metagascar.com/way/50
6 Grasswood Ave,23, Pueblo Style Home,Home Size 7707 Square Feet,Oyster Shells Driveway,Cobblestone Driveway, Lot Size 90210 Square Feet,2021-09-17 7:17:55,Undeveloped,https://map.metagascar.com/way/49
8 Grasswood Ave,24, Pueblo Style Home,Home Size 7857 Square Feet,Valet Style Driveway,Cobblestone Driveway, Lot Size 18172 Square Feet,2021-09-17 7:17:56,Undeveloped,https://map.metagascar.com/way/48
10 Grasswood Ave,25, National Style Home,Home Size 7165 Square Feet,Basic Driveway,Crushed Stone Driveway, Lot Size 16005 Square Feet,2021-09-17 7:17:58,Undeveloped,https://map.metagascar.com/way/47
12 Grasswood Ave,26, Cape Cod Style Home,Home Size 4284 Square Feet,Basic Driveway,Gravel Driveway, Lot Size 17707 Square Feet,2021-09-17 7:17:59,Undeveloped,https://map.metagascar.com/way/46
14 Grasswood Ave,27, Victorian Style Home,Home Size 9124 Square Feet,Valet Style Driveway,Asphalt Driveway, Lot Size 16072 Square Feet,2021-09-17 7:18:01,Undeveloped,https://map.metagascar.com/way/45
16 Grasswood Ave,28, Ranch Style Home,Home Size 5617 Square Feet,Valet Style Driveway,Gravel Driveway, Lot Size 17707 Square Feet,2021-09-17 7:18:02,Undeveloped,https://map.metagascar.com/way/44
18 Grasswood Ave,29, Contemporary Style Home,Home Size 7102 Square Feet,Basic Driveway,Basalt Driveway, Lot Size 21300 Square Feet,2021-09-17 7:18:04,Undeveloped,https://map.metagascar.com/way/43
20 Grasswood Ave,30, Art Deco Style Home,Home Size 8300 Square Feet,Valet Style Driveway,Basalt Driveway, Lot Size 22284 Square Feet,2021-09-17 7:18:05,Undeveloped,https://map.metagascar.com/way/42
3 Grasswood Ave,31, International Style Home,Home Size 5899 Square Feet,Basic Driveway,Tar and Chip Driveway, Lot Size 15617 Square Feet,2021-09-17 7:18:07,Undeveloped,https://map.metagascar.com/way/52
5 Grasswood Ave,32, Italianate Style Home,Home Size 9217 Square Feet,Valet Style Driveway,Brick Driveway, Lot Size 19217 Square Feet,2021-09-17 7:18:09,Undeveloped,https://map.metagascar.com/way/53
7 Grasswood Ave,33, Second Empire Style Home,Home Size 6005 Square Feet,Oyster Shells Driveway,Cobblestone Driveway, Lot Size 20857 Square Feet,2021-09-17 7:18:10,Undeveloped,https://map.metagascar.com/way/54
9 Grasswood Ave,34, Shed Style Home,Home Size 7205 Square Feet,Oyster Shells Driveway,Crushed Stone Driveway, Lot Size 22165 Square Feet,2021-09-17 7:18:12,Undeveloped,https://map.metagascar.com/way/55
11 Grasswood Ave,35, Shotgun Style Home,Home Size 8121 Square Feet,Oyster Shells Driveway,Cobblestone Driveway, Lot Size 20857 Square Feet,2021-09-17 7:18:13,Undeveloped,https://map.metagascar.com/way/56
13 Grasswood Ave,36, Neoclassical Style Home,Home Size 8172 Square Feet,Oyster Shells Driveway,Brick Driveway, Lot Size 90210 Square Feet,2021-09-17 7:18:15,Undeveloped,https://map.metagascar.com/way/57
15 Grasswood Ave,37, Shingle Style Home,Home Size 6072 Square Feet,Oyster Shells Driveway,Tar and Chip Driveway, Lot Size 21823 Square Feet,2021-09-17 7:18:16,Undeveloped,https://map.metagascar.com/way/58
17 Grasswood Ave,38, Neoclassical Style Home,Home Size 5780 Square Feet,Valet Style Driveway,Brick Driveway, Lot Size 18060 Square Feet,2021-09-17 7:18:18,Undeveloped,https://map.metagascar.com/way/59
19 Grasswood Ave,39, Shotgun Style Home,Home Size 6072 Square Feet,Valet Style Driveway,Tar and Chip Driveway, Lot Size 22165 Square Feet,2021-09-17 7:18:19,Undeveloped,https://map.metagascar.com/way/60
21 Grasswood Ave,40, French Provincial Style Home,Home Size 8121 Square Feet,Valet Style Driveway,Concrete Driveway, Lot Size 21823 Square Feet,2021-09-17 7:18:21,Undeveloped,https://map.metagascar.com/way/61
2 Sea Vista Dr,41, Shingle Style Home,Home Size 6072 Square Feet,Basic Driveway,Gravel Driveway, Lot Size 17707 Square Feet,2021-09-17 7:18:23,Undeveloped,https://map.metagascar.com/way/71
4 Sea Vista Dr,42, Georgian Style Home,Home Size 5899 Square Feet,Oyster Shells Driveway,Concrete Driveway, Lot Size 21231 Square Feet,2021-09-17 7:18:24,https://hub.link/wh5xB5w,https://map.metagascar.com/way/70
6 Sea Vista Dr,43, Gothic Revival Style Home,Home Size 8172 Square Feet,Oyster Shells Driveway,Tar and Chip Driveway, Lot Size 19217 Square Feet,2021-09-17 7:18:26,Undeveloped,https://map.metagascar.com/way/69
